mesh,genus,resolution,method,metric,error
1021166_sf,0.0,6,rfta,chf,0.09463433946671006
1021166_sf,0.0,6,rfta,hd,0.17399386655214635
1021166_sf,0.0,6,rfta,sdf,0.050179678815336165
1021166_sf,0.0,10,mc,chf,0.2598609712792896
1021166_sf,0.0,10,mc,hd,0.5484287410065196
1021166_sf,0.0,10,mc,sdf,61.253790310739305
1021166_sf,0.0,10,ndc,chf,0.24307469778230084
1021166_sf,0.0,10,ndc,hd,0.6784796430185929
1021166_sf,0.0,10,ndc,sdf,65.50873308372793
1021166_sf,0.0,10,rfts,chf,0.06257187926303502
1021166_sf,0.0,10,rfts,hd,0.21582881938604592
1021166_sf,0.0,10,rfts,sdf,0.09449085198682222
1021166_sf,0.0,10,rfta,chf,0.06571181873214833
1021166_sf,0.0,10,rfta,hd,0.1343175680910183
1021166_sf,0.0,10,rfta,sdf,0.024346274506689806
1021166_sf,0.0,20,mc,chf,0.11755090323018616
1021166_sf,0.0,20,mc,hd,0.37101467013059936
1021166_sf,0.0,20,mc,sdf,5.97212282495724
1021166_sf,0.0,20,ndc,chf,0.05488734888077762
1021166_sf,0.0,20,ndc,hd,0.3211678391526554
1021166_sf,0.0,20,ndc,sdf,1.1976122831901024
1021166_sf,0.0,20,rfts,chf,0.03788346844106117
1021166_sf,0.0,20,rfts,hd,0.1719033915028684
1021166_sf,0.0,20,rfts,sdf,0.08311236405078165
1021166_sf,0.0,20,rfta,chf,0.032077569141780504
1021166_sf,0.0,20,rfta,hd,0.06851636035013578
1021166_sf,0.0,20,rfta,sdf,0.007518802572101972
1021166_sf,0.0,30,mc,chf,0.05166103176830695
1021166_sf,0.0,30,mc,hd,0.3236982350015261
1021166_sf,0.0,30,mc,sdf,1.5519429786673158
1021166_sf,0.0,30,ndc,chf,0.022206912304791594
1021166_sf,0.0,30,ndc,hd,0.08718282469452668
1021166_sf,0.0,30,ndc,sdf,0.09076558768416464
1021166_sf,0.0,30,rfts,chf,0.03721878308128263
1021166_sf,0.0,30,rfts,hd,0.20850437333867816
1021166_sf,0.0,30,rfts,sdf,0.10360632223432174
1021166_sf,0.0,30,rfta,chf,0.026412662793304238
1021166_sf,0.0,30,rfta,hd,0.07088454951606989
1021166_sf,0.0,30,rfta,sdf,0.005531813296622842
1021166_sf,0.0,40,mc,chf,0.036285545785919124
1021166_sf,0.0,40,mc,hd,0.29638328040733886
1021166_sf,0.0,40,mc,sdf,0.7887972201724553
1021166_sf,0.0,40,ndc,chf,0.03577002765406468
1021166_sf,0.0,40,ndc,hd,0.29004940229974635
1021166_sf,0.0,40,ndc,sdf,0.4576456101713503
1021166_sf,0.0,40,rfts,chf,0.03662778197947596
1021166_sf,0.0,40,rfts,hd,0.16680248615966903
1021166_sf,0.0,40,rfts,sdf,0.09223276989534525
1021166_sf,0.0,40,rfta,chf,0.024591598015696062
1021166_sf,0.0,40,rfta,hd,0.07071163809454582
1021166_sf,0.0,40,rfta,sdf,0.005975804672420758
1021166_sf,0.0,50,mc,chf,0.012512235837802588
1021166_sf,0.0,50,mc,hd,0.05015987875481943
1021166_sf,0.0,50,mc,sdf,0.1173641334258658
1021166_sf,0.0,50,ndc,chf,0.0064829111850450895
1021166_sf,0.0,50,ndc,hd,0.03496761116697372
1021166_sf,0.0,50,ndc,sdf,0.005726851225534076
1021166_sf,0.0,50,rfts,chf,0.03501827651203243
1021166_sf,0.0,50,rfts,hd,0.18935505649760068
1021166_sf,0.0,50,rfts,sdf,0.08976097225429347
1021166_sf,0.0,50,rfta,chf,0.022368546143914488
1021166_sf,0.0,50,rfta,hd,0.06671469739317085
1021166_sf,0.0,50,rfta,sdf,0.004730500027278376
1021166_sf,0.0,80,mc,chf,0.006686870165465503
1021166_sf,0.0,80,mc,hd,0.04488906879168336
1021166_sf,0.0,80,mc,sdf,0.05016498995196299
1021166_sf,0.0,80,ndc,chf,0.003132858767186235
1021166_sf,0.0,80,ndc,hd,0.028086617116718015
1021166_sf,0.0,80,ndc,sdf,0.0016923695471906292
1021166_sf,0.0,80,rfts,chf,0.020516709242810995
1021166_sf,0.0,80,rfts,hd,0.07703355041660098
1021166_sf,0.0,80,rfts,sdf,0.014971795923579176
1021166_sf,0.0,80,rfta,chf,0.007762192540913702
1021166_sf,0.0,80,rfta,hd,0.036162971528178676
1021166_sf,0.0,80,rfta,sdf,0.001310734504377841
1021166_sf,0.0,100,mc,chf,0.004661391147030933
1021166_sf,0.0,100,mc,hd,0.03459097206776226
1021166_sf,0.0,100,mc,sdf,0.03171703536762086
1021166_sf,0.0,100,ndc,chf,0.0025317432820551877
1021166_sf,0.0,100,ndc,hd,0.020265689472644666
1021166_sf,0.0,100,ndc,sdf,0.0015885289593285798
1021166_sf,0.0,100,rfts,chf,0.01948890753659807
1021166_sf,0.0,100,rfts,hd,0.07415616158986711
1021166_sf,0.0,100,rfts,sdf,0.012923543488349466
1021166_sf,0.0,100,rfta,chf,0.007103571708709381
1021166_sf,0.0,100,rfta,hd,0.03836562158818172
1021166_sf,0.0,100,rfta,sdf,0.0011711954996194494
1028707_sf,-1.0,20,mc,chf,0.0806250312144918
1028707_sf,-1.0,20,mc,hd,0.20718021719724178
1028707_sf,-1.0,20,mc,sdf,10.598763587683225
1028707_sf,-1.0,20,ndc,chf,0.05717966027393446
1028707_sf,-1.0,20,ndc,hd,0.21798157351652234
1028707_sf,-1.0,20,ndc,sdf,4.399403578756061
1028707_sf,-1.0,20,rfts,chf,0.03544692048432836
1028707_sf,-1.0,20,rfts,hd,0.11802269748940017
1028707_sf,-1.0,20,rfts,sdf,0.14173765536621583
1028707_sf,-1.0,20,rfta,chf,0.03054403234913724
1028707_sf,-1.0,20,rfta,hd,0.060700926118841834
1028707_sf,-1.0,20,rfta,sdf,0.003401323101089455
1028707_sf,-1.0,30,mc,chf,0.04367880864091022
1028707_sf,-1.0,30,mc,hd,0.14386451328271027
1028707_sf,-1.0,30,mc,sdf,1.3421757125378677
1028707_sf,-1.0,30,ndc,chf,0.03274689297983679
1028707_sf,-1.0,30,ndc,hd,0.14912992283779888
1028707_sf,-1.0,30,ndc,sdf,0.669610884427574
1028707_sf,-1.0,30,rfts,chf,0.029939354211571265
1028707_sf,-1.0,30,rfts,hd,0.07290609093813386
1028707_sf,-1.0,30,rfts,sdf,0.11039487098964895
1028707_sf,-1.0,30,rfta,chf,0.027390114594333735
1028707_sf,-1.0,30,rfta,hd,0.05723149014129622
1028707_sf,-1.0,30,rfta,sdf,0.0029081216731366983
1028707_sf,-1.0,40,mc,chf,0.03093213606956855
1028707_sf,-1.0,40,mc,hd,0.0980490541439246
1028707_sf,-1.0,40,mc,sdf,1.459430703860649
1028707_sf,-1.0,40,ndc,chf,0.022067010466758366
1028707_sf,-1.0,40,ndc,hd,0.0761091521110386
1028707_sf,-1.0,40,ndc,sdf,0.10228783896103553
1028707_sf,-1.0,40,rfts,chf,0.030840318168970832
1028707_sf,-1.0,40,rfts,hd,0.06879175353085938
1028707_sf,-1.0,40,rfts,sdf,0.08571267911721991
1028707_sf,-1.0,40,rfta,chf,0.025032500146712613
1028707_sf,-1.0,40,rfta,hd,0.05497554222093413
1028707_sf,-1.0,40,rfta,sdf,0.00225398865819433
1028707_sf,-1.0,50,mc,chf,0.02048609417557306
1028707_sf,-1.0,50,mc,hd,0.0621230763626537
1028707_sf,-1.0,50,mc,sdf,0.23321649877872033
1028707_sf,-1.0,50,ndc,chf,0.015572215556626336
1028707_sf,-1.0,50,ndc,hd,0.04660696308252805
1028707_sf,-1.0,50,ndc,sdf,0.07087436042377573
1028707_sf,-1.0,50,rfts,chf,0.025120111763992942
1028707_sf,-1.0,50,rfts,hd,0.052329997496067135
1028707_sf,-1.0,50,rfts,sdf,0.06705931815452999
1028707_sf,-1.0,50,rfta,chf,0.024039556677615606
1028707_sf,-1.0,50,rfta,hd,0.0554432805559145
1028707_sf,-1.0,50,rfta,sdf,0.001998156081686195
1028707_sf,-1.0,60,mc,chf,0.015314805592007732
1028707_sf,-1.0,60,mc,hd,0.04726491955519482
1028707_sf,-1.0,60,mc,sdf,0.135812618030317
1028707_sf,-1.0,60,ndc,chf,0.012566425851471611
1028707_sf,-1.0,60,ndc,hd,0.03655801598105707
1028707_sf,-1.0,60,ndc,sdf,0.016942780466990194
1028707_sf,-1.0,60,rfts,chf,0.02323339341023248
1028707_sf,-1.0,60,rfts,hd,0.05372780744088079
1028707_sf,-1.0,60,rfts,sdf,0.03191131822308496
1028707_sf,-1.0,60,rfta,chf,0.022652336297853
1028707_sf,-1.0,60,rfta,hd,0.05269817325506401
1028707_sf,-1.0,60,rfta,sdf,0.0017326326990944388
1028707_sf,-1.0,80,mc,chf,0.009896695373639533
1028707_sf,-1.0,80,mc,hd,0.028239764456862576
1028707_sf,-1.0,80,mc,sdf,0.05574588672140241
1028707_sf,-1.0,80,ndc,chf,0.008183346107142674
1028707_sf,-1.0,80,ndc,hd,0.022090656743541062
1028707_sf,-1.0,80,ndc,sdf,0.004966291964447563
1028707_sf,-1.0,80,rfts,chf,0.016740620758670652
1028707_sf,-1.0,80,rfts,hd,0.03619916273733805
1028707_sf,-1.0,80,rfts,sdf,0.010083262469008425
1028707_sf,-1.0,80,rfta,chf,0.020854018687411977
1028707_sf,-1.0,80,rfta,hd,0.04615103990441933
1028707_sf,-1.0,80,rfta,sdf,0.0015440282785608335
1028707_sf,-1.0,100,mc,chf,0.006810801783918307
1028707_sf,-1.0,100,mc,hd,0.024878043379406082
1028707_sf,-1.0,100,mc,sdf,0.021440611181125783
1028707_sf,-1.0,100,ndc,chf,0.0056981182864427144
1028707_sf,-1.0,100,ndc,hd,0.015631011385482414
1028707_sf,-1.0,100,ndc,sdf,0.002281625267432507
1028707_sf,-1.0,100,rfts,chf,0.01947824511317912
1028707_sf,-1.0,100,rfts,hd,0.038343403715940076
1028707_sf,-1.0,100,rfts,sdf,0.011899045313344507
1028707_sf,-1.0,100,rfta,chf,0.01915010684364942
1028707_sf,-1.0,100,rfta,hd,0.0448750421126931
1028707_sf,-1.0,100,rfta,sdf,0.0014596515701795992
103042_sf,0.0,6,mc,chf,0.4275884682420723
103042_sf,0.0,6,mc,hd,0.732246531726688
103042_sf,0.0,6,mc,sdf,177.62210164353746
103042_sf,0.0,6,ndc,chf,0.1538555069738331
103042_sf,0.0,6,ndc,hd,0.32699529538863376
103042_sf,0.0,6,ndc,sdf,7.214789393379222
103042_sf,0.0,6,rfts,chf,0.07957250224869322
103042_sf,0.0,6,rfts,hd,0.15733666678279426
103042_sf,0.0,6,rfts,sdf,0.03509741550619616
103042_sf,0.0,6,rfta,chf,0.07028707168720558
103042_sf,0.0,6,rfta,hd,0.15475624575419758
103042_sf,0.0,6,rfta,sdf,0.03312200242254344
103042_sf,0.0,10,mc,chf,0.22143604087624263
103042_sf,0.0,10,mc,hd,0.4885635917218039
103042_sf,0.0,10,mc,sdf,21.617881816639915
103042_sf,0.0,10,ndc,chf,0.08732400251066602
103042_sf,0.0,10,ndc,hd,0.22805325612296146
103042_sf,0.0,10,ndc,sdf,1.8404153759269672
103042_sf,0.0,10,rfts,chf,0.05516529113204212
103042_sf,0.0,10,rfts,hd,0.09397233376901687
103042_sf,0.0,10,rfts,sdf,0.04317123594379516
103042_sf,0.0,10,rfta,chf,0.060344942894802855
103042_sf,0.0,10,rfta,hd,0.10572264411441018
103042_sf,0.0,10,rfta,sdf,0.01177508824322789
103042_sf,0.0,20,mc,chf,0.05007461700546056
103042_sf,0.0,20,mc,hd,0.11376729106313434
103042_sf,0.0,20,mc,sdf,1.2801741972136111
103042_sf,0.0,20,ndc,chf,0.0393899741480816
103042_sf,0.0,20,ndc,hd,0.10429004566645915
103042_sf,0.0,20,ndc,sdf,0.07129340480010227
103042_sf,0.0,20,rfts,chf,0.03402430109278295
103042_sf,0.0,20,rfts,hd,0.08302428853587646
103042_sf,0.0,20,rfts,sdf,0.05562844429627534
103042_sf,0.0,20,rfta,chf,0.037089811738744496
103042_sf,0.0,20,rfta,hd,0.08414659596606466
103042_sf,0.0,20,rfta,sdf,0.005602197903316578
103042_sf,0.0,30,mc,chf,0.028175597881737135
103042_sf,0.0,30,mc,hd,0.10820665958409435
103042_sf,0.0,30,mc,sdf,0.20178222893827977
103042_sf,0.0,30,ndc,chf,0.024215758790050893
103042_sf,0.0,30,ndc,hd,0.09747968386115366
103042_sf,0.0,30,ndc,sdf,0.3384922339066803
103042_sf,0.0,30,rfts,chf,0.028479464423037233
103042_sf,0.0,30,rfts,hd,0.05944329087002537
103042_sf,0.0,30,rfts,sdf,0.0582539084914231
103042_sf,0.0,30,rfta,chf,0.025920545396917547
103042_sf,0.0,30,rfta,hd,0.06793436947942798
103042_sf,0.0,30,rfta,sdf,0.003198075991785996
103042_sf,0.0,40,mc,chf,0.01632158130623879
103042_sf,0.0,40,mc,hd,0.051611105316599445
103042_sf,0.0,40,mc,sdf,0.07671286115316746
103042_sf,0.0,40,ndc,chf,0.015221200288308935
103042_sf,0.0,40,ndc,hd,0.05126958279984393
103042_sf,0.0,40,ndc,sdf,0.013366233737603046
103042_sf,0.0,40,rfts,chf,0.02624055842307805
103042_sf,0.0,40,rfts,hd,0.0776761329436164
103042_sf,0.0,40,rfts,sdf,0.040367409050846736
103042_sf,0.0,40,rfta,chf,0.02056279563262574
103042_sf,0.0,40,rfta,hd,0.0451901393153765
103042_sf,0.0,40,rfta,sdf,0.002053186705597459
103042_sf,0.0,50,mc,chf,0.012099521462706628
103042_sf,0.0,50,mc,hd,0.048476917774303394
103042_sf,0.0,50,mc,sdf,0.07233053468514017
103042_sf,0.0,50,ndc,chf,0.010833202236940509
103042_sf,0.0,50,ndc,hd,0.04975451838065222
103042_sf,0.0,50,ndc,sdf,0.011127542489177704
103042_sf,0.0,50,rfts,chf,0.019175558978702805
103042_sf,0.0,50,rfts,hd,0.06803315317356744
103042_sf,0.0,50,rfts,sdf,0.01871332267176777
103042_sf,0.0,50,rfta,chf,0.015753832483279852
103042_sf,0.0,50,rfta,hd,0.03855938794188736
103042_sf,0.0,50,rfta,sdf,0.001224378582451071
103042_sf,0.0,60,mc,chf,0.00922579186853834
103042_sf,0.0,60,mc,hd,0.04712621067392683
103042_sf,0.0,60,mc,sdf,0.028314713712898804
103042_sf,0.0,60,ndc,chf,0.008525934927764996
103042_sf,0.0,60,ndc,hd,0.04182211211349265
103042_sf,0.0,60,ndc,sdf,0.007342627643568639
103042_sf,0.0,60,rfts,chf,0.015480436092681897
103042_sf,0.0,60,rfts,hd,0.05676361248349683
103042_sf,0.0,60,rfts,sdf,0.013648953389735976
103042_sf,0.0,60,rfta,chf,0.01115917711295292
103042_sf,0.0,60,rfta,hd,0.034938200422731616
103042_sf,0.0,60,rfta,sdf,0.0009030577906717698
103042_sf,0.0,80,mc,chf,0.005457354864823504
103042_sf,0.0,80,mc,hd,0.03493912034975147
103042_sf,0.0,80,mc,sdf,0.011914460022560875
103042_sf,0.0,80,ndc,chf,0.005520174267677593
103042_sf,0.0,80,ndc,hd,0.023460559813240897
103042_sf,0.0,80,ndc,sdf,0.0037743412307465465
103042_sf,0.0,80,rfts,chf,0.008218531688989898
103042_sf,0.0,80,rfts,hd,0.040918733182310804
103042_sf,0.0,80,rfts,sdf,0.005539353600136138
103042_sf,0.0,80,rfta,chf,0.006943726896309556
103042_sf,0.0,80,rfta,hd,0.028039744166777805
103042_sf,0.0,80,rfta,sdf,0.000688465673298561
103087_sf,2.0,10,mc,chf,0.15274144106261422
